Title,Author,Genre,Mood,Tags,Notes,Description
Thinking, Fast and Slow,Daniel Kahneman,Nonfiction,Curious,"cognition;bias;decision-making","A groundbreaking book exploring cognitive biases, heuristics, and human decision-making."
Man's Search for Meaning,Viktor Frankl,Philosophy,Reflective,"suffering;meaning;psychology","A memoir and psychological guide about finding purpose even in suffering."
Finding Meaning in the Second Half of Life,James Hollis,Self-Help,Thoughtful,"life;purpose;psychology","A guide to navigating midlife challenges and discovering personal meaning."
Atomic Habits,James Clear,Self-Help,Motivated,"habits;behavior;productivity","Proven strategies to build good habits and break bad ones for lasting personal growth."
Cognitive Biases,Robert Cialdini,Psychology,Analytical,"bias;decision-making;behavior","An exploration of the common cognitive biases that shape our thinking and choices."
Deep Work,Cal Newport,Nonfiction,Focused,"productivity;focus;work","A book on mastering distraction-free work and achieving peak productivity."
Sapiens,Yuval Noah Harari,History,Curious,"evolution;society;history","A sweeping narrative of human history and how societies have evolved over millennia."
Educated,Tara Westover,Memoir,Inspired,"education;resilience;growth","A powerful memoir about a woman’s journey from a strict upbringing to academic success."
The Power of Now,Eckhart Tolle,Spirituality,Calm,"mindfulness;presence;spiritual","A guide to living in the present moment and transforming your consciousness."
The Subtle Art of Not Giving a F*ck,Mark Manson,Self-Help,Realistic,"happiness;values;life","A refreshing approach to self-help that focuses on prioritizing what truly matters in life."
Meditations,Marcus Aurelius,Philosophy,Reflective,"stoicism;mindset;life","Ancient Stoic wisdom from the Roman emperor about discipline, virtue, and resilience."
The 7 Habits of Highly Effective People,Stephen Covey,Self-Help,Motivated,"habits;leadership;productivity","Timeless advice on personal and professional effectiveness."
Grit,Angela Duckworth,Psychology,Determined,"perseverance;passion;success","Examines the power of passion and persistence in achieving long-term goals."
Mindset,Carol Dweck,Psychology,Reflective,"growth;learning;success","Explores fixed vs. growth mindset and how it shapes achievement."
Flow,Mihaly Csikszentmihalyi,Psychology,Focused,"creativity;engagement;work","A deep dive into the psychology of optimal experience and complete immersion."
Principles,Ray Dalio,Nonfiction,Analytical,"finance;decision-making;principles","A billionaire investor shares guiding principles for life and work."
The Lean Startup,Eric Ries,Business,Innovative,"startup;entrepreneurship;innovation","A blueprint for building successful startups using lean methodology."
How to Win Friends and Influence People,Dale Carnegie,Self-Help,Confident,"communication;relationships;persuasion","Classic strategies for building strong relationships and influencing others."
Thinking in Bets,Annie Duke,Psychology,Analytical,"decision-making;uncertainty;risk","Using poker logic to make better decisions under uncertainty."
The Art of War,Sun Tzu,Philosophy,Strategic,"strategy;leadership;conflict","Ancient treatise on strategy, leadership, and warfare applicable to life and business."
Drive,Daniel H. Pink,Self-Help,Motivated,"motivation;work;behavior","Explores the science of motivation and how to drive personal and professional success."
The Four Agreements,Don Miguel Ruiz,Spirituality,Calm,"mindfulness;ethics;personal growth","A guide to personal freedom through four practical agreements."
Quiet,Susan Cain,Psychology,Reflective,"introversion;personality;work","Celebrates the power and strengths of introverts in a noisy world."
Outliers,Malcolm Gladwell,Nonfiction,Curious,"success;achievement;culture","Explains the hidden factors behind extraordinary success."
Thinking Fast and Slow,Daniel Kahneman,Psychology,Analytical,"cognition;bias;decision-making","Examines the dual-system theory of thinking and human error."
The Power of Habit,Charles Duhigg,Self-Help,Motivated,"habits;behavior;success","Explores how habits form and how to change them to transform life."
The Alchemist,Paulo Coelho,Fiction,Inspirational,"journey;purpose;dreams","A symbolic tale about following your personal legend and dreams."
The Road Less Traveled,M. Scott Peck,Self-Help,Reflective,"discipline;love;growth","Explores life’s challenges, love, and spiritual growth."
The War of Art,Steven Pressfield,Self-Help,Determined,"resistance;creativity;discipline","A guide to overcoming inner resistance to achieve creative goals."
Thinking Like a Lawyer,Fredrick Schauer,Law,Analytical,"logic;reasoning;argument","A manual on legal reasoning and structured thinking."
The Intelligent Investor,Benjamin Graham,Finance,Analytical,"investing;strategy;finance","Classic guide to investing with principles of value investing."
Principles for Success,Ray Dalio,Nonfiction,Motivated,"success;life;strategy","Guiding principles for personal and professional success."
